Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SGS01G02144,2018.06,2466,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2019.06,2348,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2020.06,1941,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2021.06,1616,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2022.06,1964,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2023.06,3959,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2024.06,5359,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2025.06,5694,PROVISIONAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02981,2009.06,172,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2010.06,164,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2011.06,174,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2012.06,174,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2013.06,185,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2014.06,214,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2015.06,238,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2016.06,285,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2017.06,253,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2018.06,289,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2019.06,315,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2020.06,333,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2021.06,339,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2022.06,362,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2023.06,381,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
