year,nzsioc,nzsioc_descriptor,nzsioc_descriptor2,variable,units,magnitude,source,data_value
2013,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,459.33
2013,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,459330.29
2014,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,400.32
2014,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,400320.75
2015,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,435.62
2015,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,435619.43
2016,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,399.92
2016,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,399915.59
2017,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,402.11
2017,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,402112.39
2018,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,387.74
2018,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,387738.24
2019,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,401.41
2019,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,401407.15
2020,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,433.5
